"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.280884000E0,3.388952637E-1,1.601519623E0,9.625733185E0
2.290850000E0,3.288661194E-1,1.634151764E0,9.617500305E0
2.300815000E0,2.851570129E-1,1.638941803E0,9.593999176E0
2.310781000E0,2.582130432E-1,1.635798340E0,9.629176025E0
2.320746000E0,2.766247559E-1,1.597178650E0,9.613458710E0
2.330712000E0,3.188369751E-1,1.588796082E0,9.610015869E0
2.340677000E0,3.944297791E-1,1.616338806E0,9.626781006E0
2.350643000E0,4.435276794E-1,1.618284760E0,9.597142639E0
2.360608000E0,3.918850708E-1,1.644929352E0,9.547296295E0
2.370574000E0,3.315605164E-1,1.697170715E0,9.506131897E0
2.380539000E0,2.679428101E-1,1.718875580E0,9.551038513E0
2.390505000E0,2.589614868E-1,1.701212311E0,9.560468903E0
2.400470000E0,2.977308655E-1,1.632804565E0,9.539063416E0
2.410436000E0,3.487747192E-1,1.651216278E0,9.613159332E0
2.420401000E0,3.291654968E-1,1.723066864E0,9.565558319E0
2.430366000E0,3.610491943E-1,1.678309937E0,9.577533417E0
2.440332000E0,4.673281860E-1,1.625469818E0,9.700427856E0
2.450297000E0,4.921765137E-1,1.670675812E0,9.737251282E0
2.460263000E0,4.144880676E-1,1.670226746E0,9.828112335E0
2.470228000E0,3.252735901E-1,1.671723633E0,9.831106110E0
2.480194000E0,2.248324585E-1,1.695224762E0,9.792486420E0
2.490159000E0,1.904040527E-1,1.714235229E0,9.736053772E0
2.500125000E0,2.148033142E-1,1.656455383E0,9.659562836E0
2.510090000E0,2.683918762E-1,1.644031219E0,9.667047272E0
2.520056000E0,3.204835510E-1,1.655407562E0,9.610165558E0
2.530021000E0,3.201841736E-1,1.659299469E0,9.581575012E0
2.539987000E0,3.216810608E-1,1.689835968E0,9.591604156E0
2.549952000E0,3.044668579E-1,1.710343323E0,9.602681122E0
2.559918000E0,2.944377136E-1,1.697320404E0,9.623487854E0
2.569883000E0,3.540138245E-1,1.689985657E0,9.648785248E0
2.579849000E0,3.561094666E-1,1.682650909E0,9.693691864E0
2.589814000E0,3.314108276E-1,1.672322388E0,9.652826843E0
2.599780000E0,2.989283752E-1,1.689087524E0,9.639354858E0
2.609745000E0,3.077600098E-1,1.658251648E0,9.599537659E0
2.619710000E0,3.182382202E-1,1.650318146E0,9.563911743E0
2.629669500E0,2.995271301E-1,1.644180908E0,9.622440033E0
2.639634500E0,2.915936279E-1,1.657952271E0,9.589508514E0
2.649600500E0,2.529739380E-1,1.677860870E0,9.564959564E0
2.659565500E0,2.185455322E-1,1.690434723E0,9.612859955E0
2.669531500E0,2.264790344E-1,1.651964722E0,9.641899567E0
2.679496500E0,2.598596191E-1,1.569785614E0,9.712253265E0
2.689462500E0,2.516267395E-1,1.602118378E0,9.750573578E0
2.699427500E0,2.164498901E-1,1.628463593E0,9.714049530E0
2.709393500E0,2.080673218E-1,1.624571686E0,9.647887115E0
2.719358500E0,2.163002014E-1,1.622925110E0,9.652228088E0
2.729324500E0,2.547702026E-1,1.613494720E0,9.634714508E0
2.739289500E0,3.370989990E-1,1.570833435E0,9.566606140E0
2.749255500E0,3.427871704E-1,1.609303436E0,9.567953339E0
2.759220500E0,2.631527710E-1,1.680255890E0,9.523346100E0
2.769186500E0,2.219883728E-1,1.673968964E0,9.497599640E0
2.779151500E0,2.730322266E-1,1.631906433E0,9.535620575E0
2.789116500E0,2.869532776E-1,1.630858612E0,9.594298553E0
2.799082500E0,2.363584900E-1,1.635498962E0,9.663903809E0
2.809047500E0,2.040257263E-1,1.602567444E0,9.751172333E0
2.819013500E0,2.242337036E-1,1.567390594E0,9.782906342E0
2.828978500E0,2.820135498E-1,1.558109894E0,9.777068481E0
2.838944500E0,3.179388428E-1,1.583107910E0,9.742939453E0
2.848909500E0,3.444337463E-1,1.584604797E0,9.664801941E0
2.858875500E0,3.637435913E-1,1.622326355E0,9.616602173E0
2.868840500E0,3.408412170E-1,1.630858612E0,9.590855713E0
2.878806500E0,3.203338623E-1,1.625170441E0,9.600136414E0
2.888771500E0,3.008743286E-1,1.631906433E0,9.598040771E0
2.898737500E0,2.547702026E-1,1.643881531E0,9.581575012E0
2.908702500E0,2.395019531E-1,1.637594604E0,9.600136414E0
2.918668500E0,2.243833923E-1,1.639390869E0,9.608818359E0
2.928633500E0,2.525248718E-1,1.614243164E0,9.672436066E0
2.938598500E0,2.866539001E-1,1.540446625E0,9.759854279E0
2.948564500E0,2.978805542E-1,1.545835419E0,9.779463501E0
2.958529500E0,2.872526550E-1,1.556313629E0,9.767189026E0
2.968495500E0,2.838098145E-1,1.561852112E0,9.685908051E0
2.978460500E0,2.918930054E-1,1.610201569E0,9.586514740E0
2.988426500E0,2.923420715E-1,1.662742310E0,9.473200378E0
2.998391500E0,2.662962341E-1,1.701362000E0,9.423354034E0
3.008357500E0,2.790197754E-1,1.704056396E0,9.447004852E0
3.018322500E0,3.116519165E-1,1.684447174E0,9.530680847E0
3.028288500E0,3.079096985E-1,1.663191376E0,9.617200928E0
3.038253500E0,3.026705933E-1,1.639839935E0,9.690249023E0
3.048219500E0,2.853067017E-1,1.613494720E0,9.752220154E0
3.058184500E0,2.755769348E-1,1.582958221E0,9.804461517E0
3.068150500E0,2.490820312E-1,1.599573669E0,9.825417938E0
3.078115500E0,2.275268555E-1,1.607956238E0,9.833950195E0
3.088080500E0,2.667453003E-1,1.565893707E0,9.804910583E0
3.098046500E0,3.418890381E-1,1.573976898E0,9.733958130E0
3.108011500E0,4.116439819E-1,1.605261841E0,9.651479645E0
3.117977500E0,4.022135925E-1,1.648372192E0,9.627080383E0
3.127942500E0,3.385958862E-1,1.673819275E0,9.573791199E0
3.137908500E0,2.853067017E-1,1.669627991E0,9.572144623E0
3.147873500E0,2.820135498E-1,1.645378418E0,9.616003418E0
3.157839500E0,2.772235107E-1,1.652862854E0,9.659562836E0
3.167804500E0,3.017724609E-1,1.631008301E0,9.649833069E0
3.177770500E0,3.379971313E-1,1.605112152E0,9.623936920E0
3.187735500E0,3.487747192E-1,1.619182892E0,9.570797424E0
3.197701500E0,3.728746033E-1,1.617536316E0,9.538614349E0
3.207666500E0,3.864962769E-1,1.617835693E0,9.556427307E0
3.217632500E0,3.776646423E-1,1.613345032E0,9.562414856E0
3.227597500E0,3.197351074E-1,1.624421997E0,9.576784973E0
3.237562500E0,2.279759216E-1,1.615141296E0,9.621841278E0
3.247528500E0,1.919009399E-1,1.595831451E0,9.660011902E0
3.257493500E0,2.062710571E-1,1.584904175E0,9.661059723E0
3.267459500E0,2.430944824E-1,1.566342773E0,9.694140930E0
3.277424500E0,2.625540161E-1,1.600920868E0,9.683962097E0
3.287390500E0,2.757266235E-1,1.604962463E0,9.691745911E0
3.297355500E0,3.141966248E-1,1.591789856E0,9.720635834E0
3.307321500E0,3.508703613E-1,1.574126587E0,9.711205444E0
3.317286500E0,3.835025024E-1,1.587149506E0,9.742041321E0
3.327252500E0,3.600013733E-1,1.617985382E0,9.678722992E0
3.337217500E0,3.257226562E-1,1.667682037E0,9.628577271E0
3.347183500E0,2.893482971E-1,1.670226746E0,9.587861938E0
3.357148500E0,3.110531616E-1,1.669178925E0,9.622739410E0
3.367114500E0,3.118016052E-1,1.628463593E0,9.631571045E0
3.377079500E0,3.221301270E-1,1.639690247E0,9.673034821E0
3.387044500E0,2.788700867E-1,1.668430481E0,9.655521240E0
3.397010500E0,2.444416809E-1,1.664089508E0,9.621691589E0
3.406975500E0,2.555186462E-1,1.663041687E0,9.621841278E0
3.416941500E0,3.092568970E-1,1.616189117E0,9.642797699E0
3.426906500E0,3.745211792E-1,1.611399078E0,9.713899841E0
3.436872500E0,4.225712585E-1,1.609902191E0,9.775571594E0
3.446837500E0,4.079017639E-1,1.561852112E0,9.772278442E0
3.456803500E0,3.335064697E-1,1.615889740E0,9.745035095E0
3.466768500E0,3.101550293E-1,1.619332581E0,9.667346649E0
3.476734500E0,3.318598938E-1,1.636546783E0,9.583670654E0
3.486699500E0,3.373983765E-1,1.683549042E0,9.559121704E0
3.496665500E0,3.221301270E-1,1.699416046E0,9.482032013E0
3.506630500E0,2.966830444E-1,1.713187408E0,9.460626526E0
3.516596500E0,2.809657288E-1,1.705702972E0,9.466763763E0
3.526561500E0,2.993774414E-1,1.679058380E0,9.495503998E0
3.536527500E0,3.245251465E-1,1.683848419E0,9.565558319E0
3.546492500E0,3.689826965E-1,1.670825500E0,9.661658478E0
3.556457500E0,3.890409851E-1,1.633852386E0,9.672136688E0
3.566423500E0,3.800596619E-1,1.651665344E0,9.663903809E0
3.576388500E0,3.516188049E-1,1.681303711E0,9.612261200E0
3.586354500E0,3.138972473E-1,1.676214294E0,9.594448242E0
3.596319500E0,3.287164307E-1,1.707349548E0,9.579928436E0
3.606285500E0,3.945794678E-1,1.704655151E0,9.545649719E0
3.616250500E0,4.062551880E-1,1.715133362E0,9.513167267E0
3.626216500E0,3.189866638E-1,1.763333130E0,9.503138123E0
3.636181125E0,2.418969727E-1,1.754351807E0,9.542057190E0
3.646147125E0,2.350112915E-1,1.707948303E0,9.613309021E0
3.656112125E0,2.067201233E-1,1.700314178E0,9.697583771E0
3.666078125E0,2.342628479E-1,1.684297485E0,9.758806458E0
3.676043125E0,2.998265076E-1,1.686093750E0,9.756710815E0
3.686008125E0,3.665876770E-1,1.688488770E0,9.734556885E0
3.695974125E0,4.312532043E-1,1.720222778E0,9.681716766E0
3.705939125E0,4.034111023E-1,1.727258148E0,9.658664703E0
3.715905125E0,3.483256531E-1,1.707499237E0,9.661209412E0
3.725870125E0,2.806663513E-1,1.689386902E0,9.733958130E0
3.735836125E0,2.329156494E-1,1.631756744E0,9.816586304E0
3.745801125E0,2.266287231E-1,1.640438690E0,9.806856537E0
3.755767125E0,2.426454163E-1,1.639989624E0,9.774673462E0
3.765732125E0,2.415975952E-1,1.596729584E0,9.711654510E0
3.775698125E0,2.122586060E-1,1.597927094E0,9.625583496E0
3.785663125E0,1.672023010E-1,1.605261841E0,9.564510498E0
3.795629125E0,1.715432739E-1,1.620829468E0,9.534572754E0
3.805594125E0,2.347119141E-1,1.600471802E0,9.501042480E0
3.815560125E0,2.492317200E-1,1.609602814E0,9.525292053E0
3.825525125E0,1.951940918E-1,1.641935577E0,9.554481354E0
