"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.441855500E0,2.553210035E-2,1.856955513E-2,-2.093426883E-5
3.451820500E0,2.954239398E-2,2.724101953E-2,4.204425029E-3
3.461785500E0,2.561929077E-2,3.743080422E-2,9.511305951E-3
3.471751500E0,2.333106846E-2,4.704155028E-2,1.123899035E-2
3.481716500E0,2.017921582E-2,3.458301723E-2,5.211725365E-3
3.491682500E0,1.468726434E-2,2.339777537E-2,-7.106134202E-3
3.501647500E0,1.146421535E-3,6.153807510E-3,-1.486205775E-2
3.511613500E0,-1.602785848E-2,-6.351509131E-3,-1.845139638E-2
3.521578500E0,-3.470460698E-2,-4.434299190E-3,-1.138230041E-2
3.531544500E0,-4.130951315E-2,-8.198943920E-3,-4.932656884E-3
3.541509500E0,-1.828861609E-2,-6.202105433E-3,2.905558795E-3
3.551475500E0,1.235064305E-2,9.764286224E-4,2.191458363E-3
3.561440500E0,3.327083588E-2,3.317347262E-3,2.433538903E-3
3.571406500E0,4.123388231E-2,-9.994607419E-3,9.916085750E-3
3.581371500E0,4.536524415E-2,-3.192041442E-2,1.941515133E-3
3.591337500E0,4.093440622E-2,-4.334405810E-2,-8.527053520E-3
3.601302500E0,2.444890887E-2,-2.929402143E-2,-2.174299024E-2
3.611268500E0,-6.078150123E-3,-5.391419400E-4,-3.813779727E-2
3.621233500E0,-3.677534312E-2,2.404795960E-2,-4.041400179E-2
3.631198125E0,-5.248190835E-2,3.571729362E-2,-2.849083394E-2
3.641164125E0,-4.251689091E-2,2.079054154E-2,-1.744750515E-2
3.651129125E0,-1.076410525E-2,-1.626485772E-2,-4.820851143E-3
3.661095125E0,2.707382105E-2,-5.287586525E-2,-1.963279210E-3
3.671060125E0,5.192487687E-2,-7.393714041E-2,-4.273395985E-3
3.681026125E0,4.427974299E-2,-7.297014445E-2,-1.838921383E-2
3.690991125E0,2.024030499E-2,-4.044710472E-2,-3.492388129E-2
3.700957125E0,-1.218421385E-2,6.804294884E-3,-4.422843456E-2
3.710922125E0,-3.929485381E-2,4.443653300E-2,-3.845925257E-2
3.720888125E0,-4.404273629E-2,5.139644071E-2,-2.709234878E-2
3.730853125E0,-3.161647171E-2,3.076612204E-2,-1.642976142E-2
3.740819125E0,-5.840533413E-3,8.875472471E-3,-1.064191386E-2
3.750784125E0,2.409732342E-2,-1.739032939E-2,-1.502225548E-2
3.760749125E0,4.404200241E-2,-3.387343138E-2,-2.122795209E-2
3.770715125E0,5.288081616E-2,-3.172948211E-2,-1.429173164E-2
