"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.896951620E0,2.796000056E-2,7.971029878E-1,9.620726585E0
1.902002974E0,-3.911399841E-2,7.635660172E-1,9.594375610E0
1.907054380E0,-1.205610037E-1,7.252380252E-1,9.594375610E0
1.912105786E0,-2.427314967E-1,6.917009950E-1,9.613539696E0
1.917168703E0,-3.768795133E-1,6.318135262E-1,9.591980934E0
1.922220057E0,-4.223940074E-1,5.934854746E-1,9.594375610E0
1.927271464E0,-4.583264887E-1,5.982764959E-1,9.625517845E0
1.932322818E0,-4.128119946E-1,6.102539897E-1,9.706964493E0
1.937374224E0,-3.289695084E-1,6.940965056E-1,9.759665489E0
1.942425578E0,-1.852394938E-1,7.731480002E-1,9.829134941E0
1.947460682E0,-7.744199783E-2,7.947074771E-1,9.910581589E0
1.952512089E0,2.796000056E-2,8.833410144E-1,9.960887909E0
1.957563443E0,1.237799972E-1,9.839519858E-1,9.999215126E0
1.962614849E0,1.213845015E-1,9.935340285E-1,9.996820450E0
1.967666255E0,1.309664994E-1,9.887430072E-1,9.941723824E0
1.972717609E0,9.503400326E-2,1.015093446E0,9.934536934E0
1.977773286E0,3.514650092E-2,9.791610241E-1,9.881835938E0
1.982824693E0,-2.953200042E-2,9.599969983E-1,9.817157745E0
1.987876047E0,-9.181500226E-2,8.761544824E-1,9.764456749E0
1.992927453E0,-1.972170025E-1,7.875210047E-1,9.714151382E0
1.997978859E0,-2.475225031E-1,7.851254940E-1,9.654263496E0
2.003030214E0,-1.924259961E-1,7.994984984E-1,9.718941689E0
2.008059380E0,-1.445160061E-1,8.186625242E-1,9.723732948E0
2.013110734E0,-1.732620001E-1,8.258489966E-1,9.714151382E0
2.018162141E0,-2.067990005E-1,8.138715029E-1,9.697382927E0
2.023213495E0,-2.499179989E-1,7.803344727E-1,9.675823212E0
2.028264901E0,-3.361560106E-1,7.851254940E-1,9.745292664E0
2.033316255E0,-3.169920146E-1,8.234534860E-1,9.843507767E0
