"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.537310042E0,-5.776312681E-1,1.085378588E0,5.259529549E-1,1.337284963E0
2.547273042E0,-5.675471234E-1,6.894837892E-1,1.238436182E0,1.526833917E0
2.557236042E0,-2.723558864E-1,1.164619178E-2,1.929154319E0,1.948319724E0
2.567199042E0,1.495006596E-1,-3.894292402E-1,2.143405071E0,2.183618758E0
2.577161042E0,4.761824054E-1,-6.204524383E-1,2.056882651E0,2.200562917E0
2.587124042E0,5.073887030E-1,-6.857721960E-1,1.817950217E0,2.008150839E0
2.597087042E0,3.342872192E-1,-5.552821501E-1,1.703987984E0,1.823091128E0
2.607049042E0,1.281471214E-1,-6.113010342E-1,1.560062864E0,1.680448386E0
2.617012042E0,-4.745713513E-2,-6.982749318E-1,1.439330140E0,1.600472215E0
2.626975042E0,-2.213739583E-1,-8.394026709E-1,1.409511094E0,1.655392642E0
2.636937042E0,-2.851534863E-1,-1.068333077E0,1.544643756E0,1.899624281E0
2.646900042E0,-2.089283243E-1,-1.183587691E0,1.583897869E0,1.988281501E0
2.656863042E0,-3.114111939E-2,-1.087132022E0,1.252047915E0,1.658448005E0
2.666826042E0,1.205544023E-1,-9.048551604E-1,7.299447674E-1,1.168809475E0
2.676788042E0,2.431887870E-1,-7.071990985E-1,2.653103936E-1,7.935117869E-1
2.686751042E0,3.962424890E-1,-4.964934399E-1,-6.280552804E-2,6.383246668E-1
2.696714042E0,4.974723369E-1,-3.579220303E-1,-3.041978860E-1,6.841953373E-1
2.706676042E0,5.832982068E-1,-2.763241359E-1,-3.592815810E-1,7.386982338E-1
2.716639042E0,6.995670202E-1,-2.763621428E-1,-3.426924455E-1,8.265640701E-1
2.726602042E0,7.790295846E-1,-3.233077562E-1,-3.565363133E-1,9.157145525E-1
2.736564042E0,8.152649993E-1,-3.729705707E-1,-3.894625694E-1,9.774687507E-1
2.746527042E0,8.113983817E-1,-4.198775194E-1,-3.159092742E-1,9.666763340E-1
2.756490042E0,7.687589503E-1,-4.633583286E-1,-2.609893012E-1,9.347762725E-1
2.766453042E0,7.008963116E-1,-5.167665040E-1,-2.849067521E-1,9.162287469E-1
2.776415042E0,6.301495338E-1,-5.419553223E-1,-4.155820817E-1,9.292537183E-1
2.786378042E0,5.137329320E-1,-4.880787849E-1,-4.948422593E-1,8.642981472E-1
2.796341042E0,3.651032882E-1,-4.325678777E-1,-5.842029172E-1,8.134546259E-1
2.806303042E0,2.592379139E-1,-3.637813058E-1,-7.550854558E-1,8.773227342E-1
2.816266042E0,1.914092074E-1,-2.586497571E-1,-9.841366804E-1,1.035404359E0
2.826229042E0,1.669834142E-1,-1.554819958E-1,-1.207085166E0,1.228459486E0
2.836191042E0,1.168903542E-1,-1.920240238E-2,-1.458941701E0,1.463742796E0
2.846154042E0,7.123279106E-2,1.151640552E-1,-1.663848018E0,1.669349304E0
2.856117042E0,2.966192001E-2,2.457315036E-1,-1.794167837E0,1.811160409E0
2.866080042E0,-1.306297213E-2,3.747223965E-1,-1.801825935E0,1.840425010E0
2.876042042E0,-3.317403182E-2,4.579376308E-1,-1.667749865E0,1.729796810E0
2.886005042E0,5.823351704E-3,4.561551802E-1,-1.566400661E0,1.631478621E0
2.895968042E0,3.761681937E-2,4.797421903E-1,-1.518643527E0,1.593061755E0
2.905930042E0,4.327502377E-2,5.110114916E-1,-1.468594285E0,1.555562485E0
2.915893042E0,1.171625238E-1,5.076061463E-1,-1.407455213E0,1.500773545E0
2.925856042E0,1.932764243E-1,4.549791589E-1,-1.348956159E0,1.436678298E0
2.935818042E0,2.649624477E-1,4.113627309E-1,-1.314673349E0,1.402779530E0
2.945781042E0,3.149362244E-1,4.141720256E-1,-1.203987896E0,1.311605941E0
2.955744042E0,3.227316958E-1,4.058267333E-1,-1.080211111E0,1.198209969E0
2.965707042E0,3.089803968E-1,4.414138379E-1,-1.017328985E0,1.151205162E0
2.975669042E0,2.974297156E-1,5.258754062E-1,-1.027109622E0,1.191622237E0
2.985632042E0,2.776564422E-1,5.928537997E-1,-9.395814818E-1,1.145155923E0
2.995595042E0,2.769868264E-1,6.240727419E-1,-8.523614895E-1,1.092111990E0
3.005557042E0,3.307861257E-1,6.669476699E-1,-8.757450897E-1,1.149420775E0
3.015520042E0,3.646089792E-1,7.272176260E-1,-8.589518863E-1,1.183039951E0
3.025483042E0,3.794476777E-1,7.630785996E-1,-8.101019078E-1,1.175812311E0
3.035445042E0,4.145537026E-1,8.261429400E-1,-7.834766114E-1,1.211694075E0
