"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.775134483E0,-6.906899810E-1,2.107441425E0,9.467414856E0
1.780183233E0,-6.020565033E-1,2.121814489E0,9.503347397E0
1.785284483E0,-6.236159801E-1,2.095463991E0,9.536884308E0
1.790333285E0,-7.673460245E-1,2.095463991E0,9.594375610E0
1.795382035E0,-8.368154764E-1,2.093068600E0,9.627913475E0
1.800430785E0,-9.086804986E-1,2.059531450E0,9.666240692E0
1.805479535E0,-9.997094870E-1,2.064322472E0,9.671031952E0
1.810528337E0,-1.016477942E0,2.009226084E0,9.651867867E0
1.815575316E0,-1.028455496E0,2.016412497E0,9.716546059E0
1.820624066E0,-9.733589888E-1,1.987666488E0,9.678218842E0
1.825672816E0,-8.895164728E-1,2.061927080E0,9.639890671E0
1.830721618E0,-8.176515102E-1,2.090672970E0,9.572816849E0
1.835770368E0,-7.026674747E-1,2.160142422E0,9.481787682E0
1.840819118E0,-6.858990192E-1,2.251171589E0,9.350034714E0
1.845892921E0,-6.811079979E-1,2.289499521E0,9.338057518E0
1.850941671E0,-6.763169765E-1,2.284708500E0,9.321289062E0
1.855990421E0,-6.882944703E-1,2.299081564E0,9.383571625E0
1.861039223E0,-7.074584961E-1,2.294290543E0,9.524906158E0
1.866087973E0,-7.074584961E-1,2.279917479E0,9.615935326E0
1.871136723E0,-7.673460245E-1,2.222425461E0,9.704568863E0
1.876200889E0,-8.895164728E-1,2.162538052E0,9.809970856E0
1.881249691E0,-9.709634781E-1,2.133791924E0,9.860276222E0
1.886298441E0,-9.805455208E-1,2.085881948E0,9.910581589E0
1.891347191E0,-9.853364825E-1,2.083486557E0,9.886627197E0
1.896395941E0,-9.781500101E-1,2.016412497E0,9.805179596E0
1.901444691E0,-9.925230145E-1,1.990061998E0,9.644681931E0
1.906513910E0,-1.033246517E0,1.999644041E0,9.438668251E0
1.911562712E0,-1.083552003E0,1.956524968E0,9.261401176E0
1.916611462E0,-1.148230553E0,1.958920479E0,9.093716621E0
1.921660212E0,-1.205722451E0,1.956524968E0,8.997896194E0
1.926708962E0,-1.232072949E0,1.896637559E0,8.949986458E0
1.931757764E0,-1.222491026E0,1.879868984E0,8.995500565E0
1.936828285E0,-1.203326941E0,1.870286942E0,8.983523369E0
1.941877087E0,-1.186558485E0,1.848727465E0,9.052992821E0
1.946925837E0,-1.181767464E0,1.853518486E0,9.211095810E0
1.951974587E0,-1.141044021E0,1.891846538E0,9.364407539E0
1.957023337E0,-1.148230553E0,1.913406014E0,9.465019226E0
1.962072139E0,-1.085947514E0,1.930174470E0,9.596771240E0
1.967144431E0,-1.011687040E0,1.930174470E0,9.742897034E0
1.972193181E0,-9.613814950E-1,1.942152023E0,9.762061119E0
1.977241931E0,-1.009291530E0,1.961315989E0,9.776433945E0
1.982290681E0,-1.033246517E0,1.980479956E0,9.769247055E0
1.987339431E0,-1.093134046E0,1.968502522E0,9.654263496E0
1.992388233E0,-1.155416965E0,1.973293543E0,9.594375610E0
1.997415629E0,-1.236863971E0,1.903823972E0,9.541674614E0
2.002464379E0,-1.265609980E0,1.819981456E0,9.441063881E0
2.007513181E0,-1.268005490E0,1.774466991E0,9.438668251E0
2.012561931E0,-1.313519955E0,1.752907515E0,9.414713860E0
2.017610681E0,-1.361430049E0,1.702602029E0,9.369198799E0
2.022659431E0,-1.435690522E0,1.693019986E0,9.378781319E0
2.027730837E0,-1.445272446E0,1.704997540E0,9.433877945E0
2.032779587E0,-1.406944513E0,1.745720983E0,9.510533333E0
2.037828389E0,-1.354243517E0,1.791235447E0,9.596771240E0
2.042877139E0,-1.308729053E0,1.796026468E0,9.668636322E0
2.047925889E0,-1.227282047E0,1.848727465E0,9.714151382E0
2.052974639E0,-1.148230553E0,1.884660006E0,9.625517845E0
2.058059952E0,-1.047619462E0,1.884660006E0,9.443459511E0
2.063110785E0,-9.973139763E-1,1.925383449E0,9.211095810E0
2.068161671E0,-1.026059985E0,1.934965491E0,9.072156906E0
2.073212504E0,-1.057201505E0,1.920592546E0,8.945195198E0
2.078263337E0,-1.107506990E0,1.899032950E0,8.894889832E0
