"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.402498140E0,-4.391624928E-1,2.138582945E0,9.992029190E0
1.407550745E0,-4.367670119E-1,2.097859383E0,9.980051041E0
1.412595380E0,-3.936479986E-1,2.083486557E0,9.944119453E0
1.417647932E0,-3.720884919E-1,2.076299906E0,9.874649048E0
1.422700484E0,-4.152075052E-1,2.049949408E0,9.838717461E0
1.427753036E0,-4.319759905E-1,2.023598909E0,9.802784920E0
1.432805536E0,-4.032300115E-1,2.002039433E0,9.812366486E0
1.437858088E0,-4.056254923E-1,2.014017105E0,9.771642685E0
1.442893765E0,-4.128119946E-1,2.011621475E0,9.721337318E0
1.447946317E0,-3.960435092E-1,2.035576582E0,9.685404778E0
1.452998870E0,-3.625065088E-1,2.009226084E0,9.680614471E0
1.458051422E0,-3.505289853E-1,1.980479956E0,9.711755753E0
1.463103922E0,-3.529244959E-1,1.973293543E0,9.694987297E0
1.468156526E0,-3.433425128E-1,1.925383449E0,9.723732948E0
1.473204130E0,-3.768795133E-1,1.908614993E0,9.706964493E0
1.478256682E0,-4.463489950E-1,1.887055516E0,9.699777603E0
1.483309234E0,-4.942589998E-1,1.855913997E0,9.738105774E0
1.488361734E0,-4.942589998E-1,1.841541052E0,9.738105774E0
1.493414286E0,-4.798859954E-1,1.819981456E0,9.704568863E0
1.498466838E0,-4.703040123E-1,1.839145541E0,9.697382927E0
1.503523349E0,-4.319759905E-1,1.815190554E0,9.651867867E0
1.508575901E0,-4.223940074E-1,1.805608511E0,9.647076607E0
1.513628453E0,-4.223940074E-1,1.808004022E0,9.627913475E0
1.518680953E0,-4.128119946E-1,1.872682452E0,9.560838699E0
1.523733505E0,-4.032300115E-1,1.920592546E0,9.517720222E0
1.528786057E0,-3.768795133E-1,1.946943045E0,9.474600792E0
1.533819390E0,-3.433425128E-1,1.982875466E0,9.378781319E0
1.538871942E0,-3.217830062E-1,2.037971973E0,9.294938087E0
1.543924495E0,-2.762685120E-1,2.071508884E0,9.158394814E0
1.548976995E0,-2.307540029E-1,2.097859383E0,9.060179710E0
1.554029547E0,-2.211720049E-1,2.124209881E0,8.988314629E0
1.559082099E0,-2.235675007E-1,2.109837055E0,8.926031113E0
1.564143192E0,-2.475225031E-1,2.090672970E0,8.904472351E0
1.569195745E0,-2.954325080E-1,2.100255013E0,8.835002899E0
1.574248297E0,-3.026190102E-1,2.071508884E0,8.794279099E0
1.579300797E0,-3.169920146E-1,2.083486557E0,8.801465034E0
1.584353349E0,-2.834550142E-1,2.073904514E0,8.815838814E0
1.589405901E0,-2.906414866E-1,2.040367603E0,8.830211639E0
1.594442203E0,-2.523134947E-1,2.052345037E0,8.868539810E0
1.599494755E0,-2.666864991E-1,2.083486557E0,8.923636436E0
1.604547307E0,-3.122009933E-1,2.097859383E0,8.995500565E0
1.609599807E0,-3.385514915E-1,2.102650404E0,9.057784081E0
1.614652359E0,-3.840659857E-1,2.112232447E0,9.151208878E0
1.619704911E0,-4.080210030E-1,2.148164988E0,9.242237091E0
1.624745953E0,-3.625065088E-1,2.167329073E0,9.302124977E0
1.629798505E0,-2.738730013E-1,2.181701899E0,9.333266258E0
1.634851057E0,-2.139855027E-1,2.229612112E0,9.371594429E0
1.639903557E0,-1.013970003E-1,2.282313108E0,9.414713860E0
1.644956109E0,1.609500032E-3,2.346991539E0,9.417108536E0
1.650008661E0,9.024299681E-2,2.349386930E0,9.417108536E0
1.655067359E0,1.070114970E-1,2.385319471E0,9.429086685E0
1.660119911E0,1.165935025E-1,2.414065599E0,9.462623596E0
1.665172463E0,9.742949903E-2,2.423647404E0,9.532093048E0
1.670224963E0,4.472849891E-2,2.392505884E0,9.568025589E0
1.675277515E0,5.670600012E-2,2.378133059E0,9.613539696E0
1.680330067E0,7.347449660E-2,2.342200518E0,9.675823212E0
1.685356422E0,4.233299941E-2,2.282313108E0,9.752478600E0
